"","Accession","Protein","Gene","AP.JK59.P1","AP.7KJ6.P1","AP.KXUT.P1","AP.E98M.P1","AP.B2SL.P1","AP.QUHC.P1","AP.QAHT.P1","AP.9UHJ.P1","AP.NMZS.P1","AP.9D3B.P2","AP.F595.P2","AP.EFHT.P2","AP.DT88.P2","AP.JDN4.P2","AP.W455.P2","AP.JBET.P2","AP.E7CU.P2","AP.3FY5.P2","AP.4M7L.P2","AP.ZLDH.P3","AP.RQNH.P3","AP.WTXJ.P3","AP.5MX6.P3","AP.K24D.P3","AP.QD4Q.P3","AP.SS2L.P3","AP.MJ52.P3","AP.AGZG.P3","AP.B9CH.P4","AP.XCJX.P4","AP.SJVE.P4","AP.FX68.P4","AP.D9X4.P4","AP.WDKZ.P4","AP.RA2G.P4","AP.U8MP.P4","AP.HKYN.P4","AP.TBFQ.P5","AP.RBLG.P5","AP.DMUM.P5","AP.352Q.P5","AP.2E8Q.P5","AP.EZEX.P5","AP.8PRJ.P5","AP.D35H.P6","AP.HMFR.P6","AP.A5NG.P6","AP.9LNA.P6","AP.52RG.P6","AP.MGNN.P6","AP.67ZV.P6","AP.KX5B.P6","AP.6EWG.P6","AP.XSR5.P7","AP.4LRG.P7","AP.N8FG.P7","AP.5L2V.P7","AP.HFEA.P7","AP.AJWE.P7","AP.UG7J.P7","AP.5JDU.P7","AP.3336.P7","AP.CT3G.P8","AP.2XNK.P8","AP.JKPX.P8","AP.AAFC.P8","AP.XVLY.P8","AP.62LT.P8","AP.V6UJ.P8","AP.7GDN.P8","AP.KGMR.P8","AP.G79N.P9","AP.YTZ8.P9","AP.VLXG.P9","AP.94ED.P9","AP.WPAM.P9","AP.MAZ4.P9","AP.DN2V.P9","AP.HML4.P9","AP.LWHD.P10","AP.DM87.P10","AP.9PXS.P10","AP.8MWD.P10","AP.EPNF.P10","AP.YF3B.P10","AP.4HAU.P10","AP.27JZ.P10"
"1","A0A075B6I0","LV861_HUMAN Immunoglobulin lambda variable 8-61 OS=Homo sapiens GN=IGLV8-61 PE=3 SV=7","IGLV8-61",0.050654205,0.366504686,2.623979155,-0.488799295,-1.354112334,-0.272630237,-0.480858017,1.02925199,0.190328119,-1.883969936,-1.488390502,1.121489816,-1.128290389,-1.330378583,-1.836284462,0.43572932,-0.539913828,-0.296355401,-0.948896628,-1.25849334,-0.677978725,0.03247128,0.453604144,1.246544084,2.571773939,-0.71347727,-0.502463099,2.065151855,-1.301846144,-0.417692285,1.479527846,-1.058803188,0.040053814,1.499061392,0.398006293,-0.251869383,-0.888660247,-0.823604422,-2.402635827,0.984554438,-1.048794453,-1.24752717,-1.109467522,5.715703079,-0.646769516,-0.176543943,-0.075435717,0.730849866,-1.057278124,-1.430136422,1.053070499,-0.962702726,-0.135713903,0.305499027,0.041350027,-0.361496235,-0.50098513,-0.320223934,0.563350022,-1.34254264,-0.338207582,-1.023775691,-3.310657198,-1.170210943,-1.837372522,-5.264258653,-1.916678652,-1.453207192,-3.54148531,-1.420585281,-1.499146439,-2.167671056,-1.207685948,-0.744436616,0.818584885,-2.223145226,-0.348912708,0.021260217,-1.579249385,-0.232251834,0.245912868,0.291053069,1.073534392,0.595458703,0.598004295,-0.671616437,1.119084419
"2","A0A075B6K5","LV39_HUMAN Immunoglobulin lambda variable 3-9 OS=Homo sapiens GN=IGLV3-9 PE=3 SV=1","IGLV3-9",-0.083364964,0.479072563,0.029514591,-0.027945947,-0.319083949,-0.141915614,-0.038758545,0.053737003,-0.260716339,-0.241445461,-0.068304345,0.137694792,-0.272919185,-0.696992476,-0.321899857,-0.155232939,-0.719896568,-0.230394374,0.300157675,-1.151853631,-1.164433782,-0.552479005,-1.596896046,0.541089364,-0.686344641,0.905179487,0.38337348,5.080655231,-0.461273862,0.357082105,0.894922508,-0.715873426,0.091569468,0.547297113,-0.216372091,0.141661184,-0.510669608,0.371106232,-0.088223144,0.0314769,-0.180688978,-0.174567348,-0.214963821,0.925141849,0.086731932,1.44204863,0.164373198,0.177783757,0.095150628,-1.757269944,-0.073021837,0.12105204,0.44869371,-1.06433325,-0.67485776,0.057576389,2.05698762,0.320428331,1.899135213,-0.15964274,-0.636485866,-0.554793769,-0.317428884,-0.107936633,-0.328500535,-0.013581474,0.773929885,0.107293304,-0.055722226,-0.133736919,0.207078399,-0.688029308,0.194088276,0.001999406,0.426334269,-0.414846764,0.287024449,0.012409718,-0.089523036,-0.282970116,-1.075871243,-0.371069964,3.672646883,-0.316577094,0.673816202,-0.104036013,-0.502963979
"3","A0A0A0MS15","HV349_HUMAN Immunoglobulin heavy variable 3-49 OS=Homo sapiens GN=IGHV3-49 PE=3 SV=1","IGHV3-49",-0.850491335,-0.233866985,1.724429155,-1.998770548,-1.175665897,-0.408430158,-0.185255693,0.497032646,-1.629760069,-0.540111289,0.499110828,0.706684209,0.431660323,-0.669571694,-1.136304626,-0.332983337,-0.603996544,0.006341976,-0.040771382,-1.634093591,-1.039255668,-0.311605802,-0.956971496,0.088305833,3.481748643,0.10356646,0.114467582,1.519647384,-0.336866079,-0.658837136,1.532892174,-1.016315317,-0.717541912,1.125893239,0.980532251,-0.776702512,-0.765946775,-0.013275043,-1.329873551,0.332627514,-0.645530452,-0.935328269,-1.173730886,0.779401739,-1.370537656,1.927287614,-0.4732257,-1.088457271,-1.941915445,-1.582139839,-0.66619602,-0.561260201,0.256139835,-0.064042328,-0.7077701,-0.533725895,1.699428994,-0.671345184,0.644547408,-2.217793782,0.14614138,-3.333288977,-1.904541203,-0.749595288,-1.511341717,-1.601902351,1.732810611,-0.581742995,-0.56583449,-0.581735262,0.469131031,-1.222802736,2.027123542,-1.129077108,-0.783005882,0.408241455,5.60527732,-0.289764096,-2.137310273,-0.151539274,0.331113108,-0.056227233,5.868324209,-0.160555801,0.266950605,-0.281390978,-0.428356496
"4","A0A0B4J1U7","HV601_HUMAN Immunoglobulin heavy variable 6-1 OS=Homo sapiens GN=IGHV6-1 PE=3 SV=1","IGHV6-1",0.203471969,-0.014183929,1.064339869,-0.633573592,-0.275297114,-0.116447439,0.209167688,0.778222276,-0.059303464,-1.256782488,0.370505535,0.026608599,-0.206639524,-1.207377815,-0.722222207,-0.640938029,-0.665102454,-0.457388667,-0.309952636,-0.630009297,-0.475974178,0.363724752,-0.799011435,0.404865435,-0.64759947,-1.016773216,-0.479322202,2.310105241,-1.472621367,0.304513473,2.599278633,-1.585910668,-1.434639979,0.399473549,0.63746951,-1.590553284,-1.657866541,-0.773880096,-1.942931396,1.540877573,-1.070634587,-0.588277451,-1.739168644,-0.185485895,-0.771490478,-0.224653231,-0.920068535,-1.702531244,-1.29766562,-1.225001638,-0.393477096,2.049433023,-0.416890545,-1.291364442,-1.215017525,-1.528648764,0.032766047,-0.516815205,0.882754402,0.180679597,0.119121048,-2.11189058,-2.80037318,-0.812290873,-1.53975563,-0.909148715,-0.011086221,-0.179617121,2.025189849,-1.225320383,0.474049259,-1.068452024,-0.000840619,-0.472755267,0.318711215,-1.060855486,-0.256560635,-0.096663236,-1.532833279,-0.516383914,0.573296554,1.336469647,1.709114608,0.042752172,-0.66258657,-0.601054414,1.140006515
"5","A0A0B4J1V0","HV315_HUMAN Immunoglobulin heavy variable 3-15 OS=Homo sapiens GN=IGHV3-15 PE=3 SV=1","IGHV3-15",-0.090883902,-0.434559011,0.101535277,-1.054637518,-0.267407934,-0.732712015,0.002579222,0.995666285,-0.711022714,-1.279211447,0.39324453,-0.952991103,-0.975244604,-1.29244008,-1.508191713,-0.873246351,-0.367353162,-0.344635231,-0.652095743,-0.850320365,-1.139277408,-0.399279473,-0.586783816,0.558677241,0.576524299,1.027383763,-0.529610098,0.747220573,-1.313675025,-0.062106605,2.038362905,-1.662409947,-1.279717995,0.079935902,0.181309899,-1.161196779,-1.64253956,0.18368375,-1.491222935,0.040381596,-0.729227547,-0.987295589,-1.005509491,0.222796652,-0.233125538,-0.24132435,-0.214188815,-1.754467381,-0.881946437,-2.543248942,0.780335383,-0.599141161,-1.986404296,0.023146174,-0.936020787,-1.047652968,1.603567781,-0.20919547,1.087244697,-1.486727888,0.117392084,-2.083449363,-1.134853534,-0.609542589,-1.106599887,-1.456096287,3.388527875,0.105027361,-0.500235048,-1.180154654,-0.071020953,-0.364024995,0.485366442,-0.111983611,0.602691478,-0.295925742,0.286578167,1.234463317,-0.159072515,-0.554105265,1.45698792,-0.330019368,6.161393367,-0.411621133,-0.912901922,-0.762193917,-0.970831499
"6","A0A0B4J1X5","HV374_HUMAN Immunoglobulin heavy variable 3-74 OS=Homo sapiens GN=IGHV3-74 PE=3 SV=1","IGHV3-74",0.166651518,-0.007122733,0.4455406,-0.65044762,-0.396055817,0.082051505,-0.009611163,0.649269679,-0.185409573,-1.784839826,0.170963025,-0.404930687,-0.147813667,-2.574411562,-1.357451848,-0.784135314,-0.910166449,-0.656659257,-0.903419047,-1.064883065,-0.474387071,-0.123467385,-0.748876608,0.106025678,0.830289444,-0.084110743,-0.461226316,1.191701403,-0.660976332,-0.609808124,2.468957172,-0.798661351,-0.920507575,0.370363217,0.908080989,-0.20081405,-0.747096522,-0.353989976,-0.759820197,0.446591041,-1.037903002,-0.562099795,-0.780044864,2.657021394,-0.280059364,0.810598485,0.643212502,-0.660965775,-0.405706447,-0.721109466,0.630792844,0.141176985,-0.095500883,0.270278308,0.431424803,-0.259184453,0.733272111,0.28987929,0.152954885,0.034293476,0.060563958,-0.635312307,-1.685234035,-0.142822895,-1.149763622,-1.290782062,0.692519238,-0.033533911,0.283503821,-0.148595742,0.332533443,-0.51895341,0.900033957,-0.296846659,0.283443965,-0.683365354,1.228132044,0.052832877,-0.36339776,-0.563239038,-0.163515397,-0.013456698,1.885123953,-1.150769794,0.487113417,-0.727277983,-0.687728852
"7","A0A0B4J2H0","HV69D_HUMAN Immunoglobulin heavy variable 1-69D OS=Homo sapiens GN=IGHV1-69D PE=3 SV=1","IGHV1-69D",-0.378264757,0.719558377,0.037208716,0.065340493,0.004131275,0.002156587,0.333262971,0.307103169,0.023751684,-0.512746747,-0.388735996,0.220207762,-0.03857265,-0.44372046,-0.489588531,-0.413449458,-0.640437114,-0.498792857,-0.345894511,0.885805657,-1.068723293,0.307713443,-0.418741876,1.119484482,0.788779356,-0.876657306,0.273637023,0.64279255,-0.072211532,1.032514975,3.062240023,-0.33512482,0.201598482,0.919358817,0.880725982,0.400663612,-0.006633009,-0.037517816,-0.086181109,-0.196856532,-0.400165829,-0.396276226,-0.788156757,0.834734941,0.205632283,0.480930446,-0.30722564,-0.017095707,-0.676547325,-0.279087908,3.538306971,-0.330470789,0.19029528,-0.051089185,-0.0462786,0.028883607,1.883431321,0.441320554,0.558143667,-0.36737397,0.016401665,-0.302288151,-0.210182499,0.068972344,-0.148378369,-0.146673788,0.143409879,0.344981167,-0.188076997,-0.426584679,-0.054942138,-0.115691579,0.451146661,0.385271697,0.405188964,-0.110690961,1.10592479,0.191186251,-0.031830083,-0.076464018,0.15264568,0.139592399,0.526096854,0.118061118,0.49353228,-0.005589785,0.183634321
"8","A0A0C4DH29","HV103_HUMAN Immunoglobulin heavy variable 1-3 OS=Homo sapiens GN=IGHV1-3 PE=3 SV=1","IGHV1-3",-0.62448215,1.298672838,0.299000784,0.042170934,-0.268828882,0.139410428,0.457681027,-0.006702624,-0.305443276,-1.191033873,1.012409985,-0.194844117,0.276655023,-0.371643387,-0.860160832,0.289618178,-0.540842878,-0.022168202,-0.520554327,-0.626814323,-0.248274195,1.693909771,0.051134186,0.116393625,0.263779189,-0.513798564,0.062543676,0.499641334,-0.419681688,0.291030121,0.069180132,-0.640301662,-0.65217533,0.37666354,0.104259168,-0.264961847,-0.297549632,0.136740064,0.325514788,-0.156979024,-0.333582711,-0.319905966,-0.250025494,0.227106674,0.057423063,-0.134394356,0.233367983,0.624304286,0.07644638,-0.02086905,0.267513624,0.192118691,0.112895848,0.215728645,-0.219183556,-0.533352976,0.025242396,-0.747444795,0.327635262,0.013540327,-0.233392119,-2.394914936,-0.26500679,-0.54704909,-0.541490545,-0.594583727,-0.231803621,0.138298288,-1.011365416,-0.549695347,0.090497902,-0.062973267,0.413963403,0.178219195,0.271692086,-0.353839551,0.072874934,-0.193720212,-0.032226869,-1.485250964,0.307314412,-1.024598292,6.418337835,-1.58037668,-0.139273493,-1.270421681,-1.032235436
"9","A0A0C4DH31","HV118_HUMAN Immunoglobulin heavy variable 1-18 OS=Homo sapiens GN=IGHV1-18 PE=3 SV=1","IGHV1-18",-0.515170793,0.555491481,-0.632489146,-0.609542702,-1.240697174,-0.654779325,-0.858111488,-0.35619732,-1.001994913,-0.946575358,-0.463263597,-0.47976385,-0.567020598,0.122180031,0.060853865,-0.289901834,-0.184228991,0.000881202,-0.75382996,-0.27067931,-0.372142825,0.371769308,-0.394933482,0.563637793,1.140843348,-0.162363795,0.590664293,0.740507603,-0.384376793,0.689861188,2.207293774,-0.873604284,-0.011208139,0.735293213,0.813672968,0.2870972,-0.440986166,0.268702266,-0.074894873,0.444552276,-0.208651328,-0.247177758,-1.070359759,2.31788653,0.082234428,0.542126568,0.329945125,0.1271101,-0.024208034,0.226963114,0.51069871,0.10180435,0.282296629,0.139358642,-0.117457835,-0.332916135,2.025006703,0.583583883,0.83954852,-0.413103269,0.257921127,-0.233541004,-0.288484588,-0.385345319,-0.209820652,0.010772764,0.260416319,0.136166435,0.375444339,-0.591885815,0.547269521,-0.882785424,-0.116682159,-0.535018323,0.104498938,0.382330172,0.235829152,0.20586219,0.220647842,-0.638917695,-0.945557706,-0.478341262,3.215348639,-0.139683856,-0.148778384,-0.429099924,-0.538277713
"10","A0A0C4DH34","HV428_HUMAN Immunoglobulin heavy variable 4-28 OS=Homo sapiens GN=IGHV4-28 PE=3 SV=1","IGHV4-28",0.926494193,-0.245652888,1.683760257,-1.285995513,-0.918608814,-0.303677934,0.497330359,1.457039924,-0.045841855,-1.90900849,0.458801385,-0.336615099,-0.205331666,-1.782522821,-0.83900035,-1.121701281,0.445432197,0.205892529,1.45204664,-1.603751335,-1.598150843,-0.950588763,-1.739139042,-0.229612717,0.341753467,-0.599809463,-0.728388954,-1.136609405,-0.399457142,-0.246490605,0.976472753,-1.443726564,-0.080278348,1.410916068,0.350059666,-0.460638713,-1.130492817,0.273435392,-1.390336595,0.254203736,-1.34097659,-0.495098214,-3.41295077,1.006764409,1.229267189,1.148794167,0.138554253,-0.007188351,-1.070396295,-2.331047328,0.766692181,1.881800816,0.174387934,-1.048318473,-1.734431177,0.508843557,0.940552377,-0.119814721,1.219339952,0.196129184,1.486160779,-1.426106933,-2.698144405,-2.05032437,-1.91635694,-1.334999703,0.943556137,0.766934063,-0.106593491,-1.536495803,0.225129658,-0.869585543,0.543594081,-0.448392083,-0.838464714,-0.542803282,-0.744090852,-0.026722855,-0.584300197,0.389266206,-0.150361394,-0.802931223,4.137570155,-1.090216876,-0.257069997,-2.340380406,-0.279293489
